jam_order,jumlah_antrian,estimasi_menit,order_items,label
14.87,11,60,nasgor_kebuli_sapi,1
9.37,6,45,nasi_mie_geprek,0
18.6,18,45,"jeruk_es,nasi_lele_penyet,nasi_mie_ayam_bakar,nasi_sfc",1
17.87,10,30,"nasi_ayam_penyet,tahu_tempe_goreng,nasi_soto_babat",1
9.6,4,45,kentang_goreng,0
17.15,9,30,"jeruk_es,nasi_soto_babat,nasgor_kebuli_sapi,nasgor_kebuli_ayam",1
8.15,6,30,"nasi_sfc,nasi_mie_geprek",0
15.3,2,30,"tahu_tempe_goreng,nasi_lele_penyet",0
8.27,17,30,"nasi_soto_sapi,nasi_ayam_penyet",0
16.33,5,20,nasi_mie_ayam_bakar,0
18.22,6,60,"nasi_mie_geprek,nasi_soto_ayam",1
13.13,12,20,"kerupuk_udang,nasi_mie_geprek",1
14.75,10,45,"jeruk_es,kentang_goreng",1
20.0,6,20,"nasi_soto_sapi,nasgor_kebuli_sapi",0
17.83,8,20,"kentang_goreng,nasi_ayam_geprek,nasi_soto_ayam",1
14.73,2,45,es_teh_manis,0
17.2,12,45,"nasi_mie_ayam_bakar,nasi_soto_babat,nasi_lele_penyet",1
10.05,13,45,"nasi_mie_ayam_bakar,tahu_tempe_goreng",1
9.0,7,20,nasi_soto_sapi,0
16.8,10,20,es_teh_manis,0
15.65,13,45,"nasi_mie_ayam_bakar,nasi_soto_ayam",1
20.52,17,60,nasi_soto_sapi,1
19.55,14,60,nasi_ayam_penyet,1
17.45,2,30,"kerupuk_udang,nasi_soto_sapi,jeruk_es",0
14.5,11,45,"nasgor_kebuli_sapi,nasi_ayam_penyet",1
16.12,1,30,"nasi_mie_geprek,es_teh_manis",0
11.63,19,60,"nasi_mie_ayam_bakar,es_teh_manis,nasi_soto_sapi,tahu_tempe_goreng",1
20.42,4,30,"tahu_tempe_goreng,nasi_soto_sapi",0
11.95,19,45,"nasi_lele_penyet,kentang_goreng",1
8.55,11,45,"kentang_goreng,jeruk_es",1
15.88,8,45,"nasi_mie_geprek,es_teh_manis",1
21.88,11,20,"nasi_mie_ayam_bakar,nasi_mie_geprek",0
21.03,4,30,"kentang_goreng,kerupuk_udang",0
19.97,17,60,"es_teh_manis,nasi_soto_babat",1
10.82,7,60,nasgor_kebuli_ayam,0
14.18,8,60,"nasgor_kebuli_sapi,nasi_ayam_geprek",1
19.0,3,20,"nasi_soto_ayam,nasi_mie_ayam_bakar,nasi_soto_sapi",1
9.88,2,20,nasi_soto_babat,0
9.72,15,45,"nasi_soto_babat,nasi_ayam_penyet",1
14.07,5,60,nasi_lele_penyet,0
13.48,1,20,"nasi_soto_sapi,nasi_ayam_geprek",0
10.48,4,45,"nasi_soto_ayam,nasi_ayam_geprek",0
16.97,15,60,nasi_sfc,1
17.93,19,30,"nasi_soto_babat,es_teh_manis,nasi_soto_ayam,nasi_mie_geprek",1
21.27,3,45,"nasgor_kebuli_sapi,es_teh_manis",0
20.78,11,20,"nasgor_kebuli_sapi,kerupuk_udang",0
13.77,17,20,nasi_ayam_geprek,1
